Source,Target,Weight
0,107,1
0,317,1
0,379,1
0,470,1
0,496,1
1,44,1
1,50,1
1,130,1
1,410,1
1,426,1
2,424,1
2,434,1
3,247,1
3,295,1
3,426,1
4,30,1
4,128,1
4,156,1
4,258,1
4,310,1
4,356,1
4,363,1
4,369,1
4,454,1
4,481,1
5,168,1
5,287,1
5,424,1
5,435,1
6,53,1
6,136,1
7,57,1
7,61,1
7,93,1
7,337,1
8,57,1
8,122,1
8,124,1
8,146,1
8,147,1
8,178,1
8,391,1
9,68,1
9,81,1
9,90,1
9,152,1
9,176,1
9,196,1
9,199,1
9,219,1
9,352,1
9,439,1
10,172,1
10,191,1
10,212,1
10,315,1
11,134,1
11,293,1
11,474,1
12,59,1
12,116,1
12,144,1
12,181,1
12,233,1
12,288,1
12,301,1
12,457,1
13,105,1
13,143,1
13,185,1
13,407,1
14,85,1
14,106,1
14,109,1
14,215,1
14,404,1
14,425,1
15,56,1
15,282,1
15,311,1
15,358,1
16,5,1
16,218,1
16,219,1
16,240,1
16,278,1
16,391,1
17,89,1
17,151,1
17,250,1
17,439,1
17,460,1
17,485,1
18,76,1
18,212,1
18,379,1
19,104,1
19,249,1
19,328,1
19,341,1
19,352,1
19,367,1
19,382,1
20,113,1
20,145,1
20,179,1
20,259,1
20,333,1
20,422,1
20,482,1
21,65,1
21,133,1
21,283,1
21,387,1
22,12,1
22,166,1
22,249,1
23,5,1
23,82,1
23,138,1
23,151,1
23,400,1
24,67,1
24,152,1
24,290,1
24,330,1
24,447,1
24,467,1
25,90,1
25,252,1
25,365,1
25,477,1
25,487,1
26,121,1
26,300,1
26,322,1
26,381,1
27,337,1
28,26,1
28,38,1
28,58,1
28,272,1
28,296,1
28,458,1
28,478,1
29,39,1
29,290,1
29,308,1
29,427,1
30,51,1
30,192,1
30,339,1
30,413,1
30,459,1
30,496,1
31,24,1
31,25,1
31,322,1
31,365,1
31,491,1
32,72,1
32,200,1
32,311,1
32,328,1
32,423,1
33,3,1
33,27,1
33,85,1
33,95,1
33,250,1
33,340,1
33,366,1
33,485,1
34,101,1
34,140,1
34,184,1
34,271,1
34,275,1
34,342,1
35,247,1
35,287,1
35,494,1
36,21,1
36,22,1
36,46,1
36,55,1
36,122,1
36,168,1
36,195,1
36,317,1
36,333,1
36,344,1
36,416,1
36,421,1
37,177,1
37,408,1
37,416,1
38,78,1
38,139,1
38,153,1
38,442,1
39,102,1
39,142,1
39,179,1
39,186,1
39,383,1
39,419,1
39,487,1
40,164,1
40,296,1
40,416,1
40,426,1
41,4,1
41,170,1
41,220,1
41,437,1
41,481,1
42,3,1
42,109,1
42,171,1
42,361,1
43,150,1
43,321,1
43,356,1
43,394,1
44,117,1
44,136,1
44,278,1
44,331,1
44,377,1
45,292,1
45,297,1
45,465,1
46,283,1
46,440,1
47,8,1
47,290,1
47,349,1
47,411,1
47,472,1
48,111,1
48,257,1
49,7,1
49,67,1
49,100,1
49,248,1
49,307,1
49,357,1
49,404,1
49,413,1
50,0,1
50,169,1
50,240,1
50,320,1
50,351,1
50,466,1
51,6,1
51,89,1
51,91,1
51,96,1
51,167,1
51,241,1
51,324,1
51,341,1
51,352,1
52,358,1
53,54,1
53,112,1
53,283,1
53,375,1
53,484,1
54,124,1
54,165,1
54,266,1
54,298,1
54,452,1
55,110,1
55,156,1
55,190,1
55,394,1
55,403,1
56,33,1
56,183,1
57,19,1
57,46,1
57,170,1
57,448,1
58,3,1
58,8,1
58,63,1
58,106,1
58,311,1
58,471,1
59,23,1
59,60,1
59,70,1
59,368,1
59,379,1
59,420,1
59,444,1
60,76,1
60,91,1
60,109,1
60,173,1
60,278,1
61,37,1
61,249,1
61,263,1
61,360,1
61,365,1
61,372,1
62,92,1
62,304,1
62,441,1
62,450,1
63,0,1
63,64,1
63,185,1
63,347,1
63,381,1
63,385,1
64,30,1
64,38,1
64,261,1
64,317,1
64,319,1
64,382,1
64,406,1
65,30,1
65,153,1
65,281,1
65,316,1
65,487,1
66,55,1
66,117,1
66,141,1
66,146,1
66,263,1
66,300,1
67,92,1
67,123,1
67,195,1
67,208,1
67,262,1
67,263,1
67,295,1
68,14,1
68,103,1
68,125,1
68,375,1
68,496,1
69,26,1
69,40,1
69,203,1
69,239,1
69,313,1
69,365,1
69,467,1
69,495,1
70,9,1
70,43,1
70,168,1
70,217,1
70,247,1
70,467,1
70,477,1
71,56,1
71,194,1
71,244,1
71,394,1
72,27,1
72,123,1
72,135,1
72,277,1
72,441,1
73,21,1
73,291,1
73,409,1
73,431,1
74,0,1
74,41,1
74,141,1
74,271,1
75,26,1
75,76,1
75,84,1
75,131,1
75,141,1
75,181,1
75,287,1
75,448,1
76,81,1
76,257,1
76,306,1
76,336,1
76,363,1
76,413,1
77,76,1
77,128,1
77,185,1
